"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days","yahoo_ticker","adv_30d","overhang_days","par_value","price_vs_par_pct","signal_score"
"2026-05-01","48128BAR2","48128BAR2","","","JPMORGAN CHASE & CO Variable rate","","0.0","21650000.0","21650000.0","0.0","0.0034","0.0034","1.0","21650000.0","ADDED","1","","","",25.0,-96.0,""
"2026-05-01","05463HAC5","05463HAC5","AXS","","AXIS SPECIALTY FINANCE Variable rate, due 01/15/2040","","16181000.0","0.0","-16181000.0","0.0025","0.0","-0.0025","0.9793","-15846053.3","REMOVED","1","AXS",572700,28.3,25.0,-96.08,2719.06
"2026-05-01","05946KAW1","05946KAW1","","","BANCO BILBAO VIZCAYA ARG Variable rate","","0.0","15450000.0","15450000.0","0.0","0.0024","0.0024","1.0","15450000.0","ADDED","1","","","",25.0,-96.0,""
"2026-05-01","87264A204","87264A204","TMUS","TMUSZ","T-Mobile USA Inc., 5.50%, Due 03/01/2070","","3119279.0","3121051.0","1772.0","0.0109","0.011","0.0001","22.2","39338.4","BUY","1","TMUS",6279287,0.0,25.0,-11.2,0.0
"2026-05-01","21871X208","21871X208","CRBG","CRBD","Corebridge Financial, Inc., 6.375%, Due 12/15/2064","","2872463.0","2874095.0","1632.0","0.0108","0.0109","0.0001","23.95","39086.4","BUY","1","CRBG",5172990,0.0,25.0,-4.2,0.0
"2026-05-01","233331792","233331792","DTE-H","DTK","DTE Energy Company, Series H, 6.25%, Due 10/01/2085","","2584555.0","2586023.0","1468.0","0.0102","0.0101","-0.0001","24.76","36347.68","BUY","1","","","",25.0,-0.96,""
"2026-05-01","00775V104","00775V104","AEGON","AEFC","Aegon Funding Company LLC, 5.100%, Due 12/15/2049","","3183842.0","3185650.0","1808.0","0.0098","0.0098","0.0","19.46","35183.68","BUY","1","","","",25.0,-22.16,""
"2026-05-01","G05384204","G05384204","AHL","AHL.E","Aspen Insurance Holdings Limited, 5.625%","","2063409.0","2064581.0","1172.0","0.0068","0.007","0.0002","21.42","25104.24","BUY","1","","","",25.0,-14.32,""
"2026-05-01","04686J838","04686J838","ATH","ATHS","Athene Holding Ltd., 7.250% Variable Rate, Due 03/30/2064","","1750498.0","1751494.0","996.0","0.007","0.007","0.0","25.05","24949.8","BUY","1","","","",25.0,0.2,""
"2026-05-01","04686J507","04686J507","ATH-E","ATH.E","Athene Holding Ltd., Series E, 7.750% Variable Rate","","1435842.0","1436658.0","816.0","0.0058","0.0058","0.0","25.55","20848.8","BUY","1","ATH-PE",70028,0.0,25.0,2.2,0.0
