"date","isin","cusip","ticker_raw","name","sector","asset_class","mkt_val","weight","shares","price","currency","exchange","country"
"20260506","","06055HAH6","","BANK OF AMERICA CORP Variable rate","","",160442055.31,0.0254,155649000.0,1.0308,"USD","",""
"20260506","","949746804","WFC.L","Wells Fargo & Company, Series L, 7.500%","","",131367852.0,0.0208,110579.0,1188.0,"USD","",""
"20260506","","06738EBX2","","BARCLAYS PLC Variable rate","","",105175400.0,0.0167,100000000.0,1.0518,"USD","",""
"20260506","","65339K837","NEE.U","NextEra Energy Capital Holdings, Inc., Series U, 6.500%, Due 06/01/2085","","",87707642.5,0.0139,3473570.0,25.25,"USD","",""
"20260506","","48128BAQ4","","JPMORGAN CHASE & CO Variable rate","","",85489593.75,0.0136,82350000.0,1.0381,"USD","",""
"20260506","","98389B878","XELLL","Xcel Energy Inc., 6.250%, Due 10/15/2085","","",79359540.48,0.0126,3263139.0,24.32,"USD","",""
"20260506","","225313AT2","","CREDIT AGRICOLE SA Variable rate","","",78017936.76,0.0124,75172000.0,1.0379,"USD","",""
"20260506","","172967QJ3","","CITIGROUP INC Series HH, Variable rate","","",76751756.06,0.0122,75485000.0,1.0168,"USD","",""
"20260506","","05602XQS0","","BNP PARIBAS Variable rate","","",72181322.1,0.0114,71700000.0,1.0067,"USD","",""
"20260506","","87264A204","TMUSZ","T-Mobile USA Inc., 5.50%, Due 03/01/2070","","",69100069.14,0.011,3121051.0,22.14,"USD","",""
"20260506","","21871X208","CRBD","Corebridge Financial, Inc., 6.375%, Due 12/15/2064","","",68863316.2,0.0109,2874095.0,23.96,"USD","",""
"20260506","","808513BJ3","","CHARLES SCHWAB CORP Series H, Variable rate","","",68081486.26,0.0108,73169000.0,0.9305,"USD","",""
"20260506","","416515BC7","","THE HARTFORD INSUR GRP INC Variable rate, due 02/12/2047","","",67153851.48,0.0107,69648000.0,0.9642,"USD","",""
"20260506","","38141GA79","","GOLDMAN SACHS GROUP INC Variable rate","","",66240037.32,0.0105,63323000.0,1.0461,"USD","",""
"20260506","","02369GAA3","","AMER AGCREDIT ACA Variable rate","","",63612640.0,0.0101,64250000.0,0.9901,"USD","",""
"20260506","","06368LQ58","","BANK OF MONTREAL Variable rate, due 05/26/2084","","",63686297.6,0.0101,60800000.0,1.0475,"USD","",""
