"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days"
"2025-04-16","-","-","USD","USD","USD CASH","Cash and/or Derivatives",2052262.0,1261367.0,-790895.0,0.01528,0.00939,-0.00589,100.0,-79089500.0,"UNCHANGED",1
"2025-04-16","US0970232049","097023204","BA","BA","BOEING CO","Industrial",9454473.0,9456537.0,2064.0,3.80183,3.8135,0.01167,54.15,111765.6,"BUY",1
"2025-04-16","US9497468044","949746804","WFC-L","WFC","WELLS FARGO & COMPANY SERIES L","Financial Institutions",277690.0,277750.0,60.0,2.41526,2.40975,-0.00551,1165.0,69900.0,"BUY",1
"2025-04-16","US1730802014","173080201","C","C","CITIGROUP CAPITAL XIII","Financial Institutions",7385909.0,7387523.0,1614.0,1.61316,1.61693,0.00377,29.39,47435.46,"BUY",1
"2025-04-16","US48251W5004","48251W500","KKR-D","KKR","KKR & CO INC","Financial Institutions",4258730.0,4259660.0,930.0,1.43344,1.41419,-0.01925,44.58,41459.4,"BUY",1
"2025-04-16","US0605056821","060505682","BAC-L","BAC","BANK OF AMERICA CORP","Financial Institutions",151444.0,151478.0,34.0,1.31834,1.31845,0.00011,1168.75,39737.5,"BUY",1
"2025-04-16","US03769M3043","03769M304","APO","APO","APOLLO GLOBAL MANAGEMENT INC","Financial Institutions",2363567.0,2364083.0,516.0,1.20371,1.18205,-0.02166,67.14,34644.24,"BUY",1
"2025-04-16","US65339F6631","65339F663","NEE-S","NEE","NEXTERA ENERGY UNITS INC","Utility",3288458.0,3289176.0,718.0,1.14555,1.11967,-0.02588,45.71,32819.78,"BUY",1
"2025-04-16","US48128B6487","48128B648","JPM-EE","JPM","JPMORGAN CHASE & CO","Financial Institutions",5760079.0,5761337.0,1258.0,1.07362,1.07393,0.00031,25.03,31487.74,"BUY",1
"2025-04-16","US48128B6552","48128B655","JPM-DD","JPM","JPMORGAN CHASE & CO","Financial Institutions",5273797.0,5274949.0,1152.0,0.95824,0.96323,0.00499,24.52,28247.04,"BUY",1
"2025-04-16","US65339F7134","65339F713","NEEXU","NEEXU","NEXTERA ENERGY   CORPORATE UNITS I","Utility",3288458.0,3289176.0,718.0,0.95822,0.93302,-0.0252,38.09,27348.62,"BUY",1
"2025-04-16","US69331C3060","69331C306","PCG-A","PCG","PG&E CORPORATION","Utility",2647226.0,2647804.0,578.0,0.86954,0.87098,0.00144,44.17,25530.26,"BUY",1
"2025-04-16","US42824C2089","42824C208","HPE-A","HPE","HEWLETT PACKARD ENTERPRISE CONV PR","Industrial",2466429.0,2466967.0,538.0,0.85993,0.85395,-0.00598,46.48,25006.24,"BUY",1
