"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days","yahoo_ticker","adv_30d","overhang_days","par_value","price_vs_par_pct","signal_score"
"2026-06-30","PFEP0608885","PFEP0608885","STRC","STRC","Strategy Inc 3.870%","Preferred Stock","477016.0","638906.0","161890.0","462494.7415","597838.7918","135344.0503","83.19","13467629.1","BUY","4","STRC",4146080,0.0,25.0,232.76,0.0
"2026-06-30","PFEP0066209","PFEP0066209","FLG-U","FLG U","Flagstar Bank NA 6.000%","Preferred Stock","425474.0","271736.0","-153738.0","170659.0639","110070.1977","-60588.8662","41.26","-6343229.88","SELL","4","FLG-PU",28416,5.4,25.0,65.04,0.0
"2026-06-30","PFEP0611103","PFEP0611103","GOOGM","GOOGM","Alphabet Inc 6.250%","Preferred Stock","621792.0","724204.0","102412.0","317293.6276","367836.068","50542.4404","50.11","5131865.32","BUY","4","GOOGM",12738179,0.0,25.0,100.44,0.0
"2026-06-30","PFEP0604942","PFEP0604942","ALB-A","ALB A","Albemarle Corp 7.250%","Preferred Stock","586646.0","513626.0","-73020.0","417478.1515","363461.4458","-54016.7057","54.72","-3995654.4","SELL","4","ALB-PA",127443,0.6,25.0,118.88,0.0
"2026-06-30","PFEP0610378","PFEP0610378","ORCL-D","ORCL D","Oracle Corp 6.500%","Preferred Stock","720725.0","798524.0","77799.0","415302.0057","450445.9832","35143.9775","45.25","3520404.75","BUY","4","ORCL-PD",819868,0.1,25.0,81.0,0.0
"2026-06-30","PFEP0610261","PFEP0610261","FCNCN","FCNCN","First Citizens BancShares Inc/NC 6.625%","Preferred Stock","2151818.0","2092775.0","-59043.0","538225.2768","523499.6714","-14725.6054","25.32","-1494968.76","SELL","4","FCNCN",31383,1.9,25.0,1.28,0.0
"2026-06-30","PFEP0604637","PFEP0604637","ATLCZ","ATLCZ","Atlanticus Holdings Corp 9.250%","Preferred Stock","1249555.0","1235984.0","-13571.0","315557.3794","312117.6773","-3439.7021","25.65","-348096.15","SELL","4","ATLCZ",13753,1.0,25.0,2.6,0.0
"2026-06-30","PFEP0542720","PFEP0542720","VNO-M","VNO M","Vornado Realty Trust 5.250%","Preferred Stock","1494333.0","1477254.0","-17079.0","255149.0425","252848.3993","-2300.6432","17.88","-305372.52","SELL","4","VNO-PM",20302,0.8,25.0,-28.48,22.78
"2026-06-30","PFEP0603993","PFEP0603993","ABXL","ABXL","Abacus Global Management Inc 9.875%","Preferred Stock","62106.0","51042.0","-11064.0","15739.2262","12967.5826","-2771.6436","25.47","-281800.08","SELL","4","ABXL",6400,1.7,25.0,1.88,0.0
"2026-06-30","PFEP0608562","PFEP0608562","STRD","STRD","Strategy Inc 10.000%","Preferred Stock","602236.0","606578.0","4342.0","454697.5568","457099.6865","2402.1297","56.25","244237.5","BUY","4","STRD",158360,0.0,25.0,125.0,0.0
"2026-06-30","PFEP0524934","PFEP0524934","FLG-A","FLG A","Flagstar Bank NA 6.375%","Preferred Stock","2664456.0","2674788.0","10332.0","574328.2517","576779.2698","2451.0181","22.77","235259.64","BUY","4","FLG-PA",27950,0.4,25.0,-8.92,3.57
"2026-06-30","PFEP0610733","PFEP0610733","NEE-W","NEE W","NextEra Energy Capital Holdings Inc 6.500%","Preferred Stock","809637.0","800778.0","-8859.0","202406.9088","200203.8796","-2203.0292","25.0","-221475.0","SELL","4","","","",25.0,0.0,""
"2026-06-30","PFEP0599472","PFEP0599472","TDS-V","TDS V","Telephone and Data Systems Inc 6.000%","Preferred Stock","2975409.0","2986947.0","11538.0","578702.6417","581004.7003","2302.0586","18.81","217029.78","BUY","4","TDS-PV",41495,0.3,25.0,-24.76,7.43
"2026-06-30","PFEP0606715","PFEP0606715","NEWTH","NEWTH","NewtekOne Inc 8.625%","Preferred Stock","629874.0","621385.0","-8489.0","158093.6752","155983.054","-2110.6212","25.32","-214941.48","SELL","4","NEWTH",7210,1.2,25.0,1.28,0.0
"2026-06-30","PFEP0603712","PFEP0603712","GNL-E","GNL E","Global Net Lease Inc 7.375%","Preferred Stock","569292.0","560105.0","-9187.0","118258.4504","116882.0575","-1376.3929","23.06","-211852.22","SELL","4","GNL-PE",7586,1.2,25.0,-7.76,9.31
"2026-06-30","PFEP0604199","PFEP0604199","BANC-F","BANC F","Banc of California Inc 7.750%","Preferred Stock","2104902.0","2113065.0","8163.0","519191.2598","521289.7485","2098.4887","25.18","205544.34","BUY","4","BANC-PF",40076,0.2,25.0,0.72,0.0
"2026-06-30","PFEP0604009","PFEP0604009","ET-I","ET I","Energy Transfer LP 9.250%","Preferred Stock","4911870.0","4928814.0","16944.0","561320.4382","563375.2537","2054.8155","11.48","194517.12","BUY","4","ET-PI",55897,0.3,25.0,-54.08,16.22
"2026-06-30","PFEP0607986","PFEP0607986","KKR-D","KKR D","KKR & Co Inc 6.250%","Preferred Stock","1290983.0","1295987.0","5004.0","630537.9202","632478.1559","1940.2357","38.87","194505.48","BUY","4","KKR-PD",184832,0.0,25.0,55.48,0.0
"2026-06-30","PFEP0598359","PFEP0598359","BW-A","BW A","Babcock & Wilcox Enterprises Inc 7.750%","Preferred Stock","2234221.0","2242888.0","8667.0","313636.6818","315901.2871","2264.6053","22.42","194314.14","BUY","4","BW-PA",20620,0.4,25.0,-10.32,4.13
"2026-06-30","PFEP0603704","PFEP0603704","GNL-D","GNL D","Global Net Lease Inc 7.500%","Preferred Stock","2132380.0","2140651.0","8271.0","438002.7843","440088.8704","2086.0861","23.41","193624.11","BUY","4","GNL-PD",12128,0.7,25.0,-6.36,4.45
"2026-06-30","PFEP0607085","PFEP0607085","BA-A","BA A","Boeing Co/The 6.000%","Preferred Stock","741040.0","743911.0","2871.0","528594.6685","530534.4049","1939.7364","67.31","193247.01","BUY","4","BA-PA",1701450,0.0,25.0,169.24,0.0
"2026-06-30","PFEP0540906","PFEP0540906","TWO-C","TWO C","Two Harbors Investment Corp 8.943%","Preferred Stock","1948884.0","1956444.0","7560.0","430706.1466","432700.873","1994.7264","24.88","188092.8","BUY","4","TWO-PC",35707,0.2,25.0,-0.48,0.1
"2026-06-30","PFEP0607275","PFEP0607275","MBINL","MBINL","Merchants Bancorp/IN 7.625%","Preferred Stock","1911973.0","1919389.0","7416.0","456942.4142","458796.8143","1854.4001","24.6","182433.6","BUY","4","MBINL",19160,0.4,25.0,-1.6,0.64
"2026-06-30","PFEP0423004","PFEP0423004","DHCNI","DHCNI","Diversified Healthcare Trust 5.625%","Preferred Stock","2496557.0","2506241.0","9684.0","398838.1057","400674.1053","1835.9996","17.86","172956.24","BUY","4","DHCNI",25160,0.4,25.0,-28.56,11.42
"2026-06-30","PFEP0609321","PFEP0609321","XELLL","XELLL","Xcel Energy Inc 6.250%","Preferred Stock","1889003.0","1896329.0","7326.0","470993.6117","472717.4195","1723.8078","23.53","172380.78","BUY","4","XELLL",56703,0.1,25.0,-5.88,0.59
"2026-06-30","PFEP0537365","PFEP0537365","ADAMN","ADAMN","Adamas Trust Inc 8.000%","Preferred Stock","1816841.0","1823888.0","7047.0","389104.9487","390889.0861","1784.1374","23.72","167154.84","BUY","4","ADAMN",7470,0.9,25.0,-5.12,4.61
