"date","isin","cusip","ticker_raw","name","sector","asset_class","mkt_val","weight","shares","price","currency","exchange","country"
"2026-05-01","","PFEP0524934","FLG A","Flagstar Bank NA 6.375%","Preferred Stock","Preferred Stock","",540495.7604,2520078.0,23.0,"USD","",""
"2026-05-01","","PFEP0604009","ET I","Energy Transfer LP 9.250%","Preferred Stock","Preferred Stock","",540579.4126,4754467.0,12.05,"USD","",""
"2026-05-01","","PFEP0610261","FCNCN","First Citizens BancShares Inc/NC 6.625%","Preferred Stock","Preferred Stock","",552050.4064,2207650.0,25.19,"USD","",""
"2026-05-01","","PFEP0599472","TDS V","Telephone and Data Systems Inc 6.000%","Preferred Stock","Preferred Stock","",543654.9582,2798025.0,19.69,"USD","",""
"2026-05-01","","PFEP0604199","BANC F","Banc of California Inc 7.750%","Preferred Stock","Preferred Stock","",518468.4065,2115010.0,25.64,"USD","",""
"2026-05-01","","PFEP0607986","KKR D","KKR & Co Inc 6.250%","Preferred Stock","Preferred Stock","",588050.8735,1189123.0,44.38,"USD","",""
"2026-05-01","","PFEP0534511","RLJ A","RLJ Lodging Trust 7.800%","Preferred Stock","Preferred Stock","",486910.2936,1936745.0,25.14,"USD","",""
"2026-05-01","","PFEP0604942","ALB A","Albemarle Corp 7.250%","Preferred Stock","Preferred Stock","",448973.8023,624596.0,77.94,"USD","",""
"2026-05-01","","PFEP0603522","APO A","Apollo Global Management Inc 6.750%","Preferred Stock","Preferred Stock","",514356.7752,735867.0,65.73,"USD","",""
"2026-05-01","","PFEP0603704","GNL D","Global Net Lease Inc 7.500%","Preferred Stock","Preferred Stock","",416443.08,2056873.0,23.22,"USD","",""
"2026-05-01","","PFEP0540906","TWO C","Two Harbors Investment Corp 8.943%","Preferred Stock","Preferred Stock","",403100.5119,1839684.0,24.89,"USD","",""
"2026-05-01","","PFEP0607275","MBINL","Merchants Bancorp/IN 7.625%","Preferred Stock","Preferred Stock","",454335.873,1900980.0,24.08,"USD","",""
