"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days"
"2026-02-02","BTCDKX2","BTCDKX2","MSTR","MSTR","MSTR 8 PERP","",284065.0,268304.0,-15761.0,0.0107,0.0097,-0.001,81.1,-1278217.1,"SELL",3
"2026-02-02","BTTRKK4","BTTRKK4","MCHP","MCHP","MCHP 7 1/2 03/15/28","",583144.0,593240.0,10096.0,0.0173,0.018,0.0007,68.21,688648.16,"BUY",3
"2026-02-02","BP91X65","BP91X65","WFC-DD","WFC","WFC 4 1/4 PERP","",546673.0,520165.0,-26508.0,0.0043,0.0041,-0.0002,17.86,-473432.88,"SELL",3
"2026-02-02","BMYVT83","BMYVT83","WFC-AA","WFC","WFC 4.7 PERP","",506895.0,484717.0,-22178.0,0.0044,0.0042,-0.0002,19.46,-431583.88,"SELL",3
"2026-02-02","BL3BQ19","BL3BQ19","MET-F","MET","MET 4 3/4 PERP","",771840.0,753725.0,-18115.0,0.0069,0.0067,-0.0002,19.92,-360850.8,"SELL",3
"2026-02-02","B3KRSW9","B3KRSW9","WFC-L","WFC","WFC 7 1/2 PERP","",42435.0,42193.0,-242.0,0.0233,0.0231,-0.0002,1232.74,-298323.08,"SELL",3
"2026-02-02","BRBLC59","BRBLC59","BA","BA","BA 6 10/15/27","",1424253.0,1424253.0,0.0,0.0473,0.0472,-0.0001,74.44,0.0,"UNCHANGED",3
"2026-02-02","BMFV904","BMFV904","USB-L","USB","USB 3 3/4 PERP","",373822.0,373822.0,0.0,0.0026,0.0026,0.0,15.54,0.0,"UNCHANGED",3
"2026-02-02","BZC0L09","BZC0L09","ETR","ETR","ETR 4 7/8 09/01/66","",322117.0,322117.0,0.0,0.003,0.003,0.0,21.19,0.0,"UNCHANGED",3
"2026-02-02","BJP1KW2","BJP1KW2","F","F","F 6 12/01/59","",600684.0,600684.0,0.0,0.0057,0.0058,0.0001,21.67,0.0,"UNCHANGED",3
"2026-02-02","BFY34D0","BFY34D0","JPM-DD","JPM","JPM 5 3/4 PERP","",823677.0,823677.0,0.0,0.0092,0.0092,0.0,24.99,0.0,"UNCHANGED",3
"2026-02-02","BK26FC2","BK26FC2","TRTN","TRTN","TRTN 7 3/8 PERP","",131158.0,131158.0,0.0,0.0014,0.0015,0.0001,24.93,0.0,"UNCHANGED",3
"2026-02-02","BQ0QJ57","BQ0QJ57","MBIN","MBIN","MBIN 8 1/4 PERP","",109097.0,109097.0,0.0,0.0012,0.0012,0.0,25.64,0.0,"UNCHANGED",3
"2026-02-02","BKDKS91","BKDKS91","ALL-H","ALL","ALL 5.1 PERP","",886283.0,886283.0,0.0,0.0085,0.0085,0.0,21.61,0.0,"UNCHANGED",3
"2026-02-02","BQMS207","BQMS207","HBAN-J","HBAN","HBAN 6 7/8 PERP","",244102.0,244102.0,0.0,0.0028,0.0028,0.0,25.48,0.0,"UNCHANGED",3
"2026-02-02","BF2N465","BF2N465","RLJ-A","RLJ","RLJ 1.95 PERP","",252661.0,252661.0,0.0,0.0029,0.0029,0.0,25.51,0.0,"UNCHANGED",3
"2026-02-02","BMG9SY4","BMG9SY4","RGA","RGA","RGA 7 1/8 10/15/52","",528013.0,528013.0,0.0,0.006,0.006,0.0,25.45,0.0,"UNCHANGED",3
"2026-02-02","B0B87W3","B0B87W3","MET-A","MET","MET 4.98481 PERP","",448083.0,448083.0,0.0,0.0043,0.0043,0.0,21.74,0.0,"UNCHANGED",3
"2026-02-02","B07GC93","B07GC93","GS-A","GS","GS 4.87656 PERP","",569556.0,569556.0,0.0,0.0051,0.0051,0.0,20.21,0.0,"UNCHANGED",3
"2026-02-02","BSLKYN5","BSLKYN5","ATH","ATH","ATH 7 1/4 03/30/64","",436598.0,436598.0,0.0,0.0049,0.0049,0.0,25.37,0.0,"UNCHANGED",3
"2026-02-02","BJN6RX9","BJN6RX9","BAC-KK","BAC","BAC 5 3/8 PERP","",421968.0,421968.0,0.0,0.0043,0.0043,0.0,22.72,0.0,"UNCHANGED",3
"2026-02-02","BG844G9","BG844G9","PRU","PRU","PRU 5 5/8 08/15/58","",433096.0,433096.0,0.0,0.0046,0.0046,0.0,24.0,0.0,"UNCHANGED",3
"2026-02-02","BK72JQ7","BK72JQ7","PSA-J","PSA","PSA 4.7 PERP","",198212.0,198212.0,0.0,0.0017,0.0017,0.0,19.02,0.0,"UNCHANGED",3
"2026-02-02","BF4YJ94","BF4YJ94","MS-E","MS","MS 7 1/8 PERP","",435800.0,435800.0,0.0,0.0049,0.005,0.0001,25.58,0.0,"UNCHANGED",3
"2026-02-02","BPBP9W3","BPBP9W3","NEE","NEE","NEE 7.299 06/01/27","",749926.0,749926.0,0.0,0.0185,0.0182,-0.0003,54.64,0.0,"UNCHANGED",3
"2026-02-02","BNM9HL5","BNM9HL5","RF","RF","RF 6.95 PERP","",376468.0,376468.0,0.0,0.0043,0.0043,0.0,25.46,0.0,"UNCHANGED",3
"2026-02-02","B3Z1BZ0","B3Z1BZ0","C","C","C 10.2985 10/30/40","",1712560.0,1712560.0,0.0,0.0228,0.0229,0.0001,30.02,0.0,"UNCHANGED",3
