"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days","yahoo_ticker","adv_30d","overhang_days","par_value","price_vs_par_pct","signal_score"
"2026-07-16","BWQLSB7","BWQLSB7","","","B 07/30/26","","0.0","3000000.0","3000000.0","0.0","0.0014","0.0014","0.9987","2996100.0","ADDED","1","","","",25.0,-96.01,""
"2026-07-16","BV6GQY4","BV6GQY4","PNFP-B","PNFP","PNFP 8.397 PERP","","234111.0","234111.0","0.0","0.0029","0.0029","0.0","26.625","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BK8LV34","BK8LV34","SRE","SRE","SRE 5 3/4 07/01/2079","","511486.0","511486.0","0.0","0.0051","0.0051","0.0","21.4","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BV2JPV7","BV2JPV7","XEL","XEL","XEL 6 1/4 10/15/2085","","613142.0","613142.0","0.0","0.0067","0.0066","-0.0001","23.38","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","B9CDPW6","B9CDPW6","PBI","PBI","PBI 6.7 03/07/43","","252147.0","252147.0","0.0","0.0024","0.0024","0.0","20.6","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BYWSYZ2","BYWSYZ2","CMS","CMS","CMS 5 5/8 03/15/2078","","129393.0","129393.0","0.0","0.0013","0.0013","0.0","21.21","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BLL1ZY7","BLL1ZY7","T-C","T","T 4 3/4 PERP","","1192330.0","1192330.0","0.0","0.0096","0.0096","0.0","17.44","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BL3BQ19","BL3BQ19","MET-F","MET","MET 4 3/4 PERP","","673667.0","673667.0","0.0","0.0057","0.0057","0.0","18.37","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BPDXXZ6","BPDXXZ6","MS-Q","MS","MS 6 5/8 PERP","","503503.0","503503.0","0.0","0.0059","0.0059","0.0","25.42","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BTNML68","BTNML68","UMBF","UMBF","UMBF 7 3/4 PERP","","215307.0","215307.0","0.0","0.0026","0.0026","0.0","26.385","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BVMNH35","BVMNH35","DTE-H","DTE","DTE 6 1/4 10/01/2085","","404908.0","404908.0","0.0","0.0045","0.0045","0.0","24.06","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BMX47S9","BMX47S9","COF-L","COF","COF 4 3/8 PERP","","449541.0","449541.0","0.0","0.0033","0.0033","0.0","15.89","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BDRW5R1","BDRW5R1","NAVI","NAVI","NAVI 6 12/15/43","","212109.0","212109.0","0.0","0.0017","0.0017","0.0","17.84","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BMHXRD7","BMHXRD7","SO-A","SO","SO 7 1/8 12/15/28","","689547.0","689547.0","0.0","0.0158","0.0161","0.0003","50.33","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BP38124","BP38124","SF-D","SF","SF 4 1/2 PERP","","212051.0","212051.0","0.0","0.0016","0.0016","0.0","16.18","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BWRNH48","BWRNH48","C-II","C","C 6 1/4 PERP","","544433.0","544433.0","0.0","0.0063","0.0063","0.0","24.96","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BMWB4M4","BMWB4M4","VNO-N","VNO","VNO 5 1/4 PERP","","195897.0","195897.0","0.0","0.0016","0.0016","0.0","17.57","0.0","UNCHANGED","1","","","","","",""
"2026-07-16","BG844G9","BG844G9","PRU","PRU","PRU 5 5/8 08/15/58","","380813.0","380813.0","0.0","0.0039","0.0039","0.0","22.21","0.0","UNCHANGED","1","","","","","",""
