"date","isin","cusip","ticker_raw","name","sector","asset_class","mkt_val","weight","shares","price","currency","exchange","country"
"2026-09-24","","BRBLC59","BA","BA 6 10/15/27","","",87285413.6,0.0422,1416971.0,61.6,"USD","",""
"2026-09-24","","BRBVKF5","HPE","HPE 7 5/8 09/01/27","","",78471175.05,0.038,482751.0,162.55,"USD","",""
"2026-09-24","","BTTQ6B4","ORCL","ORCL 6 1/2 01/15/29","","",69321681.0,0.0336,1570140.0,44.15,"USD","",""
"2026-09-24","","B3KRSW9","WFC","WFC 7 1/2 PERP","","",45993580.2,0.0223,42453.0,1083.4,"USD","",""
"2026-09-24","","B3Z1BZ0","C","C 10.4746 10/30/40","","",40905057.25,0.0198,1546505.0,26.45,"USD","",""
"2026-09-24","","BN72V73","KKR","KKR 6 1/4 03/01/28","","",35995585.45,0.0174,840037.0,42.85,"USD","",""
"2026-09-24","","BWTWYL9","NEE","NEE 7 3/8 02/15/29","","",34004318.4,0.0165,787137.0,43.2,"USD","",""
"2026-09-24","","BTTRKK4","MCHP","MCHP 7 1/2 03/15/28","","",31427331.12,0.0152,490439.0,64.08,"USD","",""
"2026-09-24","","BMHXRD7","SO","SO 7 1/8 12/15/28","","",31330762.32,0.0152,699816.0,44.77,"USD","",""
"2026-09-24","","B2PB3Z7","BAC","BAC 7 1/4 PERP","","",29185440.0,0.0141,23728.0,1230.0,"USD","",""
"2026-09-24","","BRBLDX4","NEE","NEE 7.234 11/01/27","","",23802833.73,0.0115,524407.0,45.39,"USD","",""
"2026-09-24","","BVZM740","BRKR","BRKR 6 3/8 09/01/28","","",23088390.6,0.0112,49271.0,468.6,"USD","",""
"2026-09-24","","BPGN2R8","PCG","PCG 6 12/01/27","","",22864525.14,0.0111,721506.0,31.69,"USD","",""
"2026-09-24","","BJ2KBT6","JPM","JPM 6 PERP","","",20509622.19,0.0099,889017.0,23.07,"USD","",""
"2026-09-24","","BLL1ZY7","T","T 4 3/4 PERP","","",19702146.64,0.0095,1188308.0,16.58,"USD","",""
"2026-09-24","","BR4TW49","ARES","ARES 6 3/4 10/01/27","","",18996116.8,0.0092,487580.0,38.96,"USD","",""
"2026-09-24","","BWFB3Q8","PPL","PPL 7 02/15/29","","",18353445.7,0.0089,414299.0,44.3,"USD","",""
"2026-09-24","","BFY34D0","JPM","JPM 5 3/4 PERP","","",17797483.44,0.0086,816024.0,21.81,"USD","",""
"2026-09-24","","B15CKS5","GS","GS 4.68873 PERP","","",17497329.75,0.0085,918495.0,19.05,"USD","",""
"2026-09-24","","BF545Q2","T","T 5.35 11/01/66","","",17154130.2,0.0083,898122.0,19.1,"USD","",""
"2026-09-24","","BGMJPW3","COF","COF 5 PERP","","",17075833.2,0.0083,1009210.0,16.92,"USD","",""
"2026-09-24","","BTCDKX2","MSTR","MSTR 8 PERP","","",16974416.58,0.0082,230662.0,73.59,"USD","",""
"2026-09-24","","BLD4BS0","AIZ","AIZ 5 1/4 01/15/61","","",3214938.25,0.0016,176161.0,18.25,"USD","",""
