"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days","yahoo_ticker","adv_30d","overhang_days","par_value","price_vs_par_pct","signal_score"
"2026-08-11","74460W370","74460W370","PSA-T","PSA","Public Storage","Preferred Stock","327145.0","347145.0","20000.0","0.001985","0.002108","0.000123","22.82","456400.0","BUY","2","PSA-PT",48804,0.4,25.0,-8.72,3.49
"2026-08-11","825252885","825252885","AGPXX","AGPXX","Invesco Government & Agency Portfolio","Money Market Fund, Taxable","15081921.24","14810676.24","-271245.0","0.004004","0.003944","-6e-05","1.0","-271245.0","SELL","2","","","",25.0,-96.0,""
"2026-08-11","74913G857","74913G857","CTL","CTL","Qwest Corp","Preferred Stock","659884.0","649784.0","-10100.0","0.002944","0.002908","-3.6e-05","16.82","-169882.0","SELL","2","","","",25.0,-32.72,""
"2026-08-11","74913G865","74913G865","CTL","CTL","Qwest Corp","Preferred Stock","906339.0","905339.0","-1000.0","0.003927","0.003931","4e-06","16.32","-16320.0","SELL","2","","","",25.0,-34.72,""
"2026-08-11","CASHUSD00","CASHUSD00","USD","USD","CASH & EQUIVALENTS","Currency","98414.54","98414.52","-0.01999999998952262","2.6e-05","2.6e-05","0.0","1.0","-0.02","SELL","2","USD",877383,0.0,25.0,-96.0,0.0
"2026-08-11","345370845","345370845","F","F","Ford Motor Co","Preferred Stock","1090678.0","1090678.0","0.0","0.005917","0.00592","3e-06","20.4","0.0","UNCHANGED","2","","","","","",""
"2026-08-11","008252850","008252850","AMG","AMG","Affiliated Managers Group Inc","Preferred Stock","435318.0","435318.0","0.0","0.002321","0.002315","-6e-06","19.99","0.0","UNCHANGED","2","","","","","",""
"2026-08-11","125896852","125896852","CMS","CMS","CMS Energy Corp","Preferred Stock","406303.0","406303.0","0.0","0.002344","0.002332","-1.2e-05","21.57","0.0","UNCHANGED","2","","","","","",""
"2026-08-11","446150781","446150781","HBAN-C","HBAN","Huntington Bancshares Inc/OH","Preferred Stock","253942.0","253942.0","0.0","0.001402","0.001409","7e-06","20.86","0.0","UNCHANGED","2","","","","","",""
"2026-08-11","61762V861","61762V861","MS-O","MS","Morgan Stanley","Preferred Stock","1892473.0","1892473.0","0.0","0.008301","0.008273","-2.8e-05","16.43","0.0","UNCHANGED","2","","","","","",""
"2026-08-11","94988U656","94988U656","WFC-Y","WFC","Wells Fargo & Co","Preferred Stock","999779.0","999779.0","0.0","0.005869","0.005849","-2e-05","21.99","0.0","UNCHANGED","2","","","","","",""
