"date","isin","cusip","ticker_raw","name","sector","asset_class","mkt_val","weight","shares","price","currency","exchange","country"
"2026-08-12","","48128B648","JPM","JPMorgan Chase & Co","Preferred Stock","PFD",67171971.79,0.018191,2690107,24.97,"USD","",""
"2026-08-12","","48128B655","JPM","JPMorgan Chase & Co","Preferred Stock","PFD",58307019.84,0.015793,2466456,23.64,"USD","",""
"2026-08-12","","94988U151","WFC","Wells Fargo & Co","Preferred Stock","PFD",53040167.11,0.014151,2925547,18.13,"USD","",""
"2026-08-12","","48128B549","JPM","JPMorgan Chase & Co","Preferred Stock","PFD",48717837.77,0.013206,2690107,18.11,"USD","",""
"2026-08-12","","48128B523","JPM","JPMorgan Chase & Co","Preferred Stock","PFD",48186702.7,0.01306,2906315,16.58,"USD","",""
"2026-08-12","","060505229","BAC","Bank of America Corp","Preferred Stock","PFD",48199491.2,0.013058,1962520,24.56,"USD","",""
"2026-08-12","","00206R706","T","AT&T Inc","Preferred Stock","PFD",43128410.55,0.011507,2544449,16.95,"USD","",""
"2026-08-12","","06053U601","BAC","Bank of America Corp","Preferred Stock","PFD",41534071.31,0.011081,2009078,20.6732,"USD","",""
"2026-08-12","","48128B580","JPM","JPMorgan Chase & Co","Preferred Stock","PFD",38751341.09,0.010505,2180717,17.77,"USD","",""
"2026-08-12","","14040H824","COF","Capital One Financial Corp","Preferred Stock","PFD",38997549.48,0.010404,2181071,17.88,"USD","",""
"2026-08-12","","060505179","BAC","Bank of America Corp","Preferred Stock","PFD",38403720.8,0.010246,1526380,25.16,"USD","",""
"2026-08-12","","00206R300","T","AT&T Inc","Preferred Stock","PFD",37521306.59,0.010011,1917287,19.57,"USD","",""
"2026-08-12","","61762V838","MS","Morgan Stanley","Preferred Stock","PFD",36570816.2,0.009757,1454108,25.15,"USD","",""
"2026-08-12","","06055H202","BAC","Bank of America Corp","Preferred Stock","PFD",36405484.5,0.009713,1891194,19.25,"USD","",""
"2026-08-12","","61762V853","MS","Morgan Stanley","Preferred Stock","PFD",36323393.02,0.009691,1454099,24.98,"USD","",""
"2026-08-12","","61761J406","MS","Morgan Stanley","Preferred Stock","PFD",35790692.2,0.009549,1456090,24.58,"USD","",""
"2026-08-12","","26441C501","DUK","Duke Energy Corp","Preferred Stock","PFD",35416590.56,0.009449,1449124,24.44,"USD","",""
"2026-08-12","","61762V606","MS","Morgan Stanley","Preferred Stock","PFD",33198852,0.008857,1456090,22.8,"USD","",""
"2026-08-12","","61762V200","MS","Morgan Stanley","Preferred Stock","PFD",31932835.48,0.00852,1253251,25.48,"USD","",""
"2026-08-12","","020002838","ALL","Allstate Corp/The","Preferred Stock","PFD",31854667.05,0.008499,1672161,19.05,"USD","",""
"2026-08-12","","14040H782","COF","Capital One Financial Corp","Preferred Stock","PFD",31279088.95,0.008345,1817495,17.21,"USD","",""
"2026-08-12","","06055H806","BAC","Bank of America Corp","Preferred Stock","PFD",30727945,0.008333,1885150,16.3,"USD","",""
"2026-08-12","","00206R508","T","AT&T Inc","Preferred Stock","PFD",31223578.6,0.00833,1744334,17.9,"USD","",""
"2026-08-12","","61763E207","MS","Morgan Stanley","Preferred Stock","PFD",31096639.12,0.008296,1232038,25.24,"USD","",""
"2026-08-12","","61762V861","MS","Morgan Stanley","Preferred Stock","PFD",30988029.6,0.008268,1889514,16.4,"USD","",""
"2026-08-12","","94988U128","WFC","Wells Fargo & Co","Preferred Stock","PFD",30524944.3,0.008144,1700554,17.95,"USD","",""
"2026-08-12","","65339K837","NEE","NextEra Energy Capital Holdings Inc","Preferred Stock","PFD",30369182.76,0.008102,1268554,23.94,"USD","",""
"2026-08-12","","98389B878","XEL","Xcel Energy Inc","Preferred Stock","PFD",29847621.51,0.007963,1303959,22.89,"USD","",""
"2026-08-12","","04686J861","ATH","Athene Holding Ltd","Preferred Stock","PFD",29836655.8,0.00796,1253641,23.8,"USD","",""
"2026-08-12","","060505195","BAC","Bank of America Corp","Preferred Stock","PFD",29597182.7,0.007896,1233730,23.99,"USD","",""
"2026-08-12","","95002Y400","WFC","Wells Fargo & Co","Preferred Stock","PFD",29587320.84,0.007894,1817403,16.28,"USD","",""
"2026-08-12","","55261F864","MTB","M&T Bank Corp","Preferred Stock","PFD",28697924.71,0.007657,1086631,26.41,"USD","",""
"2026-08-12","","172967242","C","Citigroup Inc","Preferred Stock","PFD",28084823.39,0.007614,1159093,24.23,"USD","",""
"2026-08-12","","842587800","SO","Southern Co/The","Preferred Stock","PFD",26923987.08,0.007183,1453779,18.52,"USD","",""
"2026-08-12","","06055H400","BAC","Bank of America Corp","Preferred Stock","PFD",26336379.42,0.007026,1570446,16.77,"USD","",""
"2026-08-12","","808513600","SCHW","Charles Schwab Corp/The","Preferred Stock","PFD",26111742.93,0.006967,1086631,24.03,"USD","",""
"2026-08-12","","59156R850","MET","MetLife Inc","Preferred Stock","PFD",25949791.1,0.006923,1449709,17.9,"USD","",""
"2026-08-12","","759351885","RGA","Reinsurance Group of America Inc","Preferred Stock","PFD",25923284.28,0.006916,1014213,25.56,"USD","",""
"2026-08-12","","95002Y202","WFC","Wells Fargo & Co","Preferred Stock","PFD",25484841.36,0.006799,1524213,16.72,"USD","",""
"2026-08-12","","59156R876","MET","MetLife Inc","Preferred Stock","PFD",25309491.2,0.006752,1166336,21.7,"USD","",""
"2026-08-12","","48128B622","JPM","JPMorgan Chase & Co","Preferred Stock","PFD",24495094.01,0.006639,1305013,18.77,"USD","",""
"2026-08-12","","00775V104","AEGON","AEGON Funding Co LLC","Preferred Stock","PFD",24471869.4,0.006529,1340190,18.26,"USD","",""
"2026-08-12","","89832Q695","TFC","Truist Financial Corp","Preferred Stock","PFD",24284315.28,0.006479,1340194,18.12,"USD","",""
"2026-08-12","","345370837","F","Ford Motor Co","Preferred Stock","PFD",23142362.69,0.006174,1172953,19.73,"USD","",""
"2026-08-12","","816851604","SRE","Sempra","Preferred Stock","PFD",22575595.57,0.006023,1097501,20.57,"USD","",""
"2026-08-12","","020002788","ALL","Allstate Corp/The","Preferred Stock","PFD",22569097,0.006021,870050,25.94,"USD","",""
"2026-08-12","","03769M205","APO","Apollo Global Management Inc","Preferred Stock","PFD",22278874.02,0.005944,872313,25.54,"USD","",""
"2026-08-12","","345370845","F","Ford Motor Co","Preferred Stock","PFD",22215049.2,0.005927,1088973,20.4,"USD","",""
"2026-08-12","","493267843","KEY","KeyCorp","Preferred Stock","PFD",21898019.66,0.005842,869314,25.19,"USD","",""
